genome	fsp
GCA_000149955.2	lycopersici
GCA_000222805.1	conglutinans
GCA_000259975.2	lycopersici
GCA_000260175.2	vasinfectum
GCA_000260215.2	conglutinans
GCA_000260495.2	melonis
GCA_000350345.1	cubense
GCA_001519035.1	conglutinans
GCA_001696625.1	cubense
GCA_001702495.1	cucumerinum
GCA_001702505.1	niveum
GCA_001702515.1	cucumerinum
GCA_001702545.1	cucumerinum
GCA_001702555.1	cucumerinum
GCA_001702575.1	cucumerinum
GCA_001702615.1	cucumerinum
GCA_001702635.1	cucumerinum
GCA_001702655.1	cucumerinum
GCA_001702715.1	niveum
GCA_001702745.1	niveum
GCA_001702775.1	niveum
GCA_001702785.1	niveum
GCA_001702795.1	niveum
GCA_001702805.1	niveum
GCA_001702845.1	niveum
GCA_001702865.1	niveum
GCA_001702875.1	lycopersici
GCA_001702905.1	lycopersici
GCA_001702935.1	lycopersici
GCA_001702945.1	lycopersici
GCA_001702955.1	lycopersici
GCA_001702995.1	lycopersici
GCA_001703015.1	lycopersici
GCA_001703025.1	lycopersici
GCA_001703035.1	lycopersici
GCA_001703065.1	lycopersici
GCA_001703085.1	lycopersici
GCA_001703105.1	lycopersici
GCA_001703135.1	lycopersici
GCA_001703175.2	lycopersici
GCA_001703185.1	lycopersici
GCA_001703205.2	melonis
GCA_001703215.1	melonis
GCA_001703255.1	melonis
GCA_001703265.1	melonis
GCA_001703295.1	melonis
GCA_001703305.1	melonis
GCA_001703335.1	melonis
GCA_001703345.1	melonis
GCA_001703355.1	lycopersici
GCA_001703365.1	melonis
GCA_001703455.1	cucumerinum
GCA_002318975.1	melonis
GCA_002711385.1	conglutinans
GCA_002711405.2	conglutinans
GCA_003315725.1	lycopersici
GCA_003977725.1	lycopersici
GCA_005930515.1	cubense
GCA_007994515.1	cubense
GCA_009602505.1	vasinfectum
GCA_009602545.1	vasinfectum
GCA_009602615.1	vasinfectum
GCA_009602625.1	vasinfectum
GCA_009602635.1	vasinfectum
GCA_011316005.3	cubense
GCA_012026625.1	lini
GCA_012610785.1	vasinfectum
GCA_012610815.1	vasinfectum
GCA_012610825.1	vasinfectum
GCA_012610835.1	vasinfectum
GCA_013347345.2	spinaciae
GCA_013347495.1	spinaciae
GCA_013347505.1	spinaciae
GCA_013347515.1	spinaciae
GCA_013347525.1	spinaciae
GCA_013347535.2	spinaciae
GCA_013347635.1	spinaciae
GCA_013423225.1	lini
GCA_013423235.1	lini
GCA_013423245.1	lini
GCA_013423255.1	lini
GCA_013423265.1	lini
GCA_014154955.1	conglutinans
GCA_014282265.3	cubense
GCA_014602775.1	niveum
GCA_014602795.1	niveum
GCA_014602815.1	niveum
GCA_015227905.1	spinaciae
GCA_015228045.1	spinaciae
GCA_015228055.1	spinaciae
GCA_016163805.1	fragariae
GCA_016163825.1	fragariae
GCA_016163845.1	fragariae
GCA_016163855.1	fragariae
GCA_016163875.1	fragariae
GCA_016163905.1	fragariae
GCA_016163965.1	fragariae
GCA_016163975.1	fragariae
GCA_016164105.1	fragariae
GCA_016164135.1	fragariae
GCA_016164145.2	fragariae
GCA_016165865.1	fragariae
GCA_016165915.1	fragariae
GCA_016165935.1	fragariae
GCA_016166065.1	fragariae
GCA_016166085.1	fragariae
GCA_016166095.2	fragariae
GCA_016166105.1	fragariae
GCA_016166135.1	fragariae
GCA_016166175.1	fragariae
GCA_016166195.1	fragariae
GCA_016166215.1	fragariae
GCA_016166225.1	fragariae
GCA_016166245.1	fragariae
GCA_016166285.1	fragariae
GCA_016166325.2	fragariae
GCA_016166335.1	fragariae
GCA_016166345.1	fragariae
GCA_016166365.1	fragariae
GCA_016166385.1	fragariae
GCA_016166395.1	fragariae
GCA_016166415.1	fragariae
GCA_016167825.1	fragariae
GCA_016170085.2	fragariae
GCA_016170095.2	fragariae
GCA_016802195.1	cubense
GCA_016802205.1	cubense
GCA_016802225.1	cubense
GCA_018894095.1	conglutinans
GCA_019593445.1	niveum
GCA_019593455.1	niveum
GCA_019593485.1	niveum
GCA_019593505.1	niveum
GCA_019670925.1	lini
GCA_019670985.1	lini
GCA_019671045.1	lini
GCA_019671085.1	lini
GCA_019671095.1	lini
GCA_019721145.1	niveum
GCA_019721165.1	niveum
GCA_019721175.1	niveum
GCA_020975805.1	melonis
GCA_020975825.1	melonis
GCA_020975845.1	melonis
GCA_020975875.1	melonis
GCA_020975915.1	melonis
GCA_020975975.1	melonis
GCA_020975985.1	melonis
GCA_020975995.1	melonis
GCA_020976025.1	melonis
GCA_020976035.1	melonis
GCA_020976075.1	melonis
GCA_020976085.1	melonis
GCA_020976095.1	melonis
GCA_020976115.1	melonis
GCA_020976145.1	melonis
GCA_020976165.1	melonis
GCA_020976175.1	melonis
GCA_020976195.1	melonis
GCA_020976235.1	melonis
GCA_020976245.1	melonis
GCA_020976255.1	melonis
GCA_020976275.1	melonis
GCA_020976345.1	melonis
GCA_020976355.1	melonis
GCA_020976365.1	melonis
GCA_020976375.1	melonis
GCA_020976425.1	melonis
GCA_020976435.1	melonis
GCA_020976445.1	melonis
GCA_020976455.1	melonis
GCA_020976485.1	melonis
GCA_020976505.1	melonis
GCA_020976525.1	melonis
GCA_021018635.1	lycopersici
GCA_021237285.1	cubense
GCA_025216125.1	vasinfectum
GCA_025216145.1	vasinfectum
GCA_025216185.1	vasinfectum
GCA_025216225.1	niveum
GCA_025216245.1	niveum
GCA_025216265.1	niveum
GCA_025216285.1	niveum
GCA_025216305.1	niveum
GCA_025216325.1	niveum
GCA_025216345.1	vasinfectum
GCA_025216385.1	vasinfectum
GCA_025216405.1	vasinfectum
GCA_025216425.1	vasinfectum
GCA_025216445.1	vasinfectum
GCA_025216465.1	vasinfectum
GCA_025216485.1	vasinfectum
GCA_025216505.1	vasinfectum
GCA_025216525.1	vasinfectum
GCA_025216545.1	spinaciae
GCA_025216565.1	melonis
GCA_025216585.1	niveum
GCA_025216605.1	melonis
GCA_025216625.1	melonis
GCA_025216645.1	melonis
GCA_025216665.1	melonis
GCA_025216685.1	melonis
GCA_025216705.1	melonis
GCA_025216725.1	melonis
GCA_025216745.1	lycopersici
GCA_025216765.1	lycopersici
GCA_025216785.1	lycopersici
GCA_025216805.1	melonis
GCA_025216845.1	cubense
GCA_025216865.1	cubense
GCA_025216905.1	cubense
GCA_025216935.1	cubense
GCA_025216985.1	cubense
GCA_025217025.1	lycopersici
GCA_025217065.1	lycopersici
GCA_025217085.1	lycopersici
GCA_025217105.1	lycopersici
GCA_025217125.1	lycopersici
GCA_025217145.1	fragariae
GCA_025217165.1	lycopersici
GCA_025217205.1	vasinfectum
GCA_025217245.1	vasinfectum
GCA_025266885.1	niveum
GCA_025266905.1	niveum
GCA_025267595.1	vasinfectum
GCA_025267615.1	fragariae
GCA_025267625.1	conglutinans
GCA_025267655.1	fragariae
GCA_025267685.1	vasinfectum
GCA_025267705.1	vasinfectum
GCA_026212305.1	niveum
GCA_026260275.1	niveum
GCA_026260535.1	niveum
GCA_027475055.1	niveum
GCA_027475405.1	niveum
GCA_027920445.1	cubense
GCA_030719095.1	vasinfectum
GCA_032878545.1	vasinfectum
GCA_032991405.1	vasinfectum
GCA_034509825.1	cubense
GCA_036785135.1	conglutinans
GCA_038050555.1	vasinfectum
